model_id,arm,cycle,state_index,state,occupancy
A,HPE,31,6,Unresolved ulcer,9.292498830618137e-05
A,HPE,31,7,Serious GI event,0.0002398455295476532
A,HPE,31,8,Unresolved serious GI event,3.542718755988514e-05
A,HPE,31,9,Post-event,0.7759635391434188
A,HPE,31,10,Dead,0.17184383451044527
A,HPE,32,1,Well no HPE,0.0
A,HPE,32,2,Well with HPE,0.0038806343936136746
A,HPE,32,3,GI discomfort,0.04015563540386616
A,HPE,32,4,Unresolved GI discomfort,0.005929886674424817
A,HPE,32,5,Symptomatic ulcer,0.0006216708524282921
A,HPE,32,6,Unresolved ulcer,9.18639919628283e-05
A,HPE,32,7,Serious GI event,0.00023739443751398192
A,HPE,32,8,Unresolved serious GI event,3.505347643727448e-05
A,HPE,32,9,Post-event,0.7702538777251945
A,HPE,32,10,Dead,0.17879398304455663
A,HPE,33,1,Well no HPE,0.0
A,HPE,33,2,Well with HPE,0.0032538127303206347
A,HPE,33,3,GI discomfort,0.03975343574535551
A,HPE,33,4,Unresolved GI discomfort,0.005868754869469194
A,HPE,33,5,Symptomatic ulcer,0.0006151014422948466
A,HPE,33,6,Unresolved ulcer,9.085733062623471e-05
A,HPE,33,7,Serious GI event,0.00023503475209420385
A,HPE,33,8,Unresolved serious GI event,3.4695248802138105e-05
A,HPE,33,9,Post-event,0.7644626807153216
A,HPE,33,10,Dead,0.18568562716571366
A,HPE,34,1,Well no HPE,0.0
A,HPE,34,2,Well with HPE,0.002728238790394695
A,HPE,34,3,GI discomfort,0.03936515155044144
A,HPE,34,4,Unresolved GI discomfort,0.00580997330168566
A,HPE,34,5,Symptomatic ulcer,0.0006088057024533084
A,HPE,34,6,Unresolved ulcer,8.98972099028932e-05
A,HPE,34,7,Serious GI event,0.00023275426388192852
A,HPE,34,8,Unresolved serious GI event,3.435038026355174e-05
A,HPE,34,9,Post-event,0.7586115409377483
A,HPE,34,10,Dead,0.19251928786322617
A,HPE,35,1,Well no HPE,0.0
A,HPE,35,2,Well with HPE,0.0022875584781060334
A,HPE,35,3,GI discomfort,0.03898896347320983
A,HPE,35,4,Unresolved GI discomfort,0.005753225481940777
A,HPE,35,5,Symptomatic ulcer,0.0006027460356503156
